Address,Latitude,Longitude,
"1631 Francisco St. Berkeley, CA 94703",37.874633,-122.278661,
"1728 McGee Ave, Berkeley, CA 94703",37.874422,-122.278089,
"1640 Francisco St, Berkeley, CA 94703",37.874295,-122.278319,
"1627 Francisco St. Berkeley, CA 94703",37.874616,-122.278784,
"1636 Francisco St. Berkeley, CA 94703",37.874248,-122.278459,
"1625 Francisco St. Berkeley, CA 94703",37.874599,-122.2708903,1
"1634 Francisco St. Berkeley, CA 94703",37.874257,-122.278647,
"1623 Francisco St. Berkeley, CA 94703",37.874591,-122.279054,
"1632 Francisco St. Berkeley, CA 94703",37.874141,-122.278759,
"1621 Francisco St. Berkeley, CA 94703",37.874574,-122.279204,
"1617 Francisco St. Berkeley, CA 94703",37.874557,-122.279328,
"1626 Francisco St. Berkeley, CA 94703",37.874155,-122.278906,1
"1622 Francisco St. Berkeley, CA 94703",37.874217,-122.279065,
"1615 Franciso St. Berkeley, CA 94703",37.874527,-122.279468,
"1618 Franciso St. Berkeley, CA 94703",37.874182,-122.279247,
"1611 Francisco St. Berkeley, CA 94703",37.874514,-122.279608,
"1607 Francisco St. Berkeley, CA 94703",37.874536,-122.279748,
"1616 Francisco St. Berkeley, CA 94703",37.874128,-122.279372,
"1612 Francisco St. Berkeley, CA 94703",37.874101,-122.279576,
"1605 Francisco St. Berkeley, CA 94703",37.87448,-122.279877,1
"1608 Francisco St. Berkeley, CA 94703",37.874132,-122.279707,
"1601 Francisco St. Berkeley, CA 94703",37.874468,-122.280012,
"1729 California St, Berkeley, CA 94703",37.874146,-122.279922,
"1731 California St, Berkeley, CA 94703",37.873989,-122.27986,
"1735 California St, Berkeley, CA 94703",37.873778,-122.279843,1
"1709 California St. Berkeley, CA 94703",37.874684,-122.280006,
"1705 California St. Berkeley, CA 94703",37.874799,-122.280017,
